Tile Name,Predicted Class,Slide Name,Tumor Cells (%),Tumor Cells Count,Mitosis (%),Mitosis Count,Karyorrhexis (%),Karyorrhexis Count,Stroma (%),Stroma Count,Final Classification
./tiles_output\NBL-11\tile_6101_44431.jpg,Tumor Cells,NBL-11.svs,37.63,247,14.28,94,23.99,157,24.11,158,Tumor Positive
./tiles_output\NBL-11\tile_6357_41871.jpg,Karyorrhexis,NBL-11.svs,26.61,174,15.6,102,38.67,253,19.11,125,Tumor Positive
./tiles_output\NBL-11\tile_6357_42127.jpg,Tumor Cells,NBL-11.svs,34.52,226,16.01,105,26.87,176,22.6,148,Tumor Positive
./tiles_output\NBL-11\tile_6357_42639.jpg,Karyorrhexis,NBL-11.svs,32.02,210,15.47,101,32.84,215,19.66,129,Tumor Positive
./tiles_output\NBL-11\tile_6357_42895.jpg,Tumor Cells,NBL-11.svs,38.34,251,21.49,141,20.37,133,19.8,130,Tumor Positive
./tiles_output\NBL-11\tile_6357_43151.jpg,Tumor Cells,NBL-11.svs,37.99,249,13.68,90,27.18,178,21.16,139,Tumor Positive
./tiles_output\NBL-11\tile_6613_42383.jpg,Karyorrhexis,NBL-11.svs,25.13,165,17.99,118,38.02,249,18.86,124,Tumor Positive
./tiles_output\NBL-11\tile_6613_43663.jpg,Tumor Cells,NBL-11.svs,35.55,233,12.58,82,30.93,203,20.95,137,Tumor Positive
./tiles_output\NBL-11\tile_6869_41103.jpg,Tumor Cells,NBL-11.svs,32.68,214,16.17,106,30.98,203,20.17,132,Tumor Positive
./tiles_output\NBL-11\tile_6869_41359.jpg,Karyorrhexis,NBL-11.svs,27.4,180,22.25,146,32.85,215,17.5,115,Tumor Positive
./tiles_output\NBL-11\tile_6869_42383.jpg,Karyorrhexis,NBL-11.svs,30.04,197,17.63,116,31.23,205,21.1,138,Tumor Positive
./tiles_output\NBL-11\tile_6869_44175.jpg,Tumor Cells,NBL-11.svs,27.82,182,18.26,120,26.73,175,27.19,178,Tumor Positive
./tiles_output\NBL-11\tile_7125_40847.jpg,Tumor Cells,NBL-11.svs,47.36,310,15.86,104,23.25,152,13.53,89,Tumor Positive
./tiles_output\NBL-11\tile_7125_41103.jpg,Karyorrhexis,NBL-11.svs,34.31,225,15.69,103,34.43,226,15.57,102,Tumor Positive
./tiles_output\NBL-11\tile_7125_41359.jpg,Karyorrhexis,NBL-11.svs,19.81,130,18.96,124,31.32,205,29.91,196,Tumor Positive
./tiles_output\NBL-11\tile_7125_41615.jpg,Karyorrhexis,NBL-11.svs,28.66,188,15.19,100,30.24,198,25.91,170,Tumor Positive
./tiles_output\NBL-11\tile_7125_41871.jpg,Karyorrhexis,NBL-11.svs,30.58,200,16.44,108,32.52,213,20.46,134,Tumor Positive
./tiles_output\NBL-11\tile_7125_42383.jpg,Karyorrhexis,NBL-11.svs,29.23,192,23.71,155,29.84,196,17.21,113,Tumor Positive
./tiles_output\NBL-11\tile_7125_42639.jpg,Stroma,NBL-11.svs,28.02,184,20.66,135,22.56,148,28.76,188,Tumor Positive
./tiles_output\NBL-11\tile_7125_42895.jpg,Tumor Cells,NBL-11.svs,31.04,203,22.36,147,26.23,172,20.37,133,Tumor Positive
./tiles_output\NBL-11\tile_7125_43919.jpg,Tumor Cells,NBL-11.svs,35.66,234,18.21,119,27.68,181,18.45,121,Tumor Positive
./tiles_output\NBL-11\tile_7381_40847.jpg,Tumor Cells,NBL-11.svs,48.97,321,12.99,85,23.25,152,14.79,97,Tumor Positive
./tiles_output\NBL-11\tile_7381_41103.jpg,Tumor Cells,NBL-11.svs,50.41,330,11.58,76,25.83,169,12.18,80,Tumor Positive
./tiles_output\NBL-11\tile_7381_41359.jpg,Tumor Cells,NBL-11.svs,50.47,331,12.9,85,23.42,153,13.22,87,Tumor Positive
./tiles_output\NBL-11\tile_7381_41615.jpg,Tumor Cells,NBL-11.svs,46.64,306,18.87,124,18.47,121,16.01,105,Tumor Positive
./tiles_output\NBL-11\tile_7381_41871.jpg,Tumor Cells,NBL-11.svs,31.14,204,21.85,143,22.15,145,24.86,163,Tumor Positive
./tiles_output\NBL-11\tile_7381_42127.jpg,Tumor Cells,NBL-11.svs,31.67,208,22.05,145,23.1,151,23.19,152,Tumor Positive
./tiles_output\NBL-11\tile_7381_42383.jpg,Tumor Cells,NBL-11.svs,37.29,244,12.87,84,28.65,188,21.19,139,Tumor Positive
./tiles_output\NBL-11\tile_7381_43663.jpg,Karyorrhexis,NBL-11.svs,22.07,145,22.7,149,36.08,236,19.15,126,Tumor Positive
./tiles_output\NBL-11\tile_7637_40591.jpg,Tumor Cells,NBL-11.svs,42.17,276,17.91,117,19.68,129,20.24,133,Tumor Positive
./tiles_output\NBL-11\tile_7637_40847.jpg,Tumor Cells,NBL-11.svs,36.19,237,15.53,102,30.7,201,17.58,115,Tumor Positive
./tiles_output\NBL-11\tile_7637_41103.jpg,Tumor Cells,NBL-11.svs,51.33,336,12.94,85,21.61,142,14.12,93,Tumor Positive
./tiles_output\NBL-11\tile_7637_41359.jpg,Tumor Cells,NBL-11.svs,46.98,308,10.12,66,27.63,181,15.26,100,Tumor Positive
./tiles_output\NBL-11\tile_7637_41615.jpg,Tumor Cells,NBL-11.svs,47.19,309,12.46,82,24.98,164,15.37,101,Tumor Positive
./tiles_output\NBL-11\tile_7637_41871.jpg,Tumor Cells,NBL-11.svs,49.17,322,14.93,98,18.97,124,16.93,111,Tumor Positive
./tiles_output\NBL-11\tile_7637_42127.jpg,Tumor Cells,NBL-11.svs,35.32,231,22.57,148,24.46,160,17.65,116,Tumor Positive
./tiles_output\NBL-11\tile_7637_42383.jpg,Tumor Cells,NBL-11.svs,26.48,174,26.26,172,22.04,144,25.23,165,Tumor Positive
./tiles_output\NBL-11\tile_7637_42639.jpg,Tumor Cells,NBL-11.svs,38.62,253,22.8,149,19.32,127,19.25,126,Tumor Positive
./tiles_output\NBL-11\tile_7637_42895.jpg,Tumor Cells,NBL-11.svs,30.41,199,24.06,158,29.83,195,15.7,103,Tumor Positive
./tiles_output\NBL-11\tile_7637_43151.jpg,Karyorrhexis,NBL-11.svs,25.46,167,23.23,152,29.05,190,22.26,146,Tumor Positive
./tiles_output\NBL-11\tile_7637_43407.jpg,Tumor Cells,NBL-11.svs,29.94,196,24.96,164,21.32,140,23.78,156,Tumor Positive
./tiles_output\NBL-11\tile_7893_40335.jpg,Tumor Cells,NBL-11.svs,52.19,342,21.59,141,14.37,94,11.85,78,Tumor Positive
./tiles_output\NBL-11\tile_7893_40591.jpg,Tumor Cells,NBL-11.svs,47.54,312,17.4,114,17.77,116,17.29,113,Tumor Positive
./tiles_output\NBL-11\tile_7893_40847.jpg,Tumor Cells,NBL-11.svs,41.98,275,21.84,143,19.19,126,16.99,111,Tumor Positive
./tiles_output\NBL-11\tile_7893_41103.jpg,Karyorrhexis,NBL-11.svs,29.23,192,24.22,159,29.9,196,16.65,109,Tumor Positive
./tiles_output\NBL-11\tile_7893_41359.jpg,Tumor Cells,NBL-11.svs,38.41,252,18.67,122,28.12,184,14.8,97,Tumor Positive
./tiles_output\NBL-11\tile_7893_41615.jpg,Tumor Cells,NBL-11.svs,48.98,321,14.09,92,22.51,148,14.42,95,Tumor Positive
./tiles_output\NBL-11\tile_7893_42127.jpg,Tumor Cells,NBL-11.svs,55.99,367,12.53,82,17.19,113,14.29,94,Tumor Positive
./tiles_output\NBL-11\tile_7893_42383.jpg,Tumor Cells,NBL-11.svs,46.34,304,18.28,120,16.4,107,18.99,124,Tumor Positive
./tiles_output\NBL-11\tile_7893_42639.jpg,Tumor Cells,NBL-11.svs,41.0,269,17.28,113,21.52,141,20.2,132,Tumor Positive
./tiles_output\NBL-11\tile_7893_42895.jpg,Tumor Cells,NBL-11.svs,30.37,199,19.08,125,24.65,162,25.9,170,Tumor Positive
./tiles_output\NBL-11\tile_7893_43151.jpg,Tumor Cells,NBL-11.svs,33.52,220,28.97,190,22.36,147,15.16,99,Tumor Positive
./tiles_output\NBL-11\tile_8149_41103.jpg,Tumor Cells,NBL-11.svs,51.63,338,21.63,142,16.91,111,9.82,64,Tumor Positive
./tiles_output\NBL-11\tile_8149_41359.jpg,Karyorrhexis,NBL-11.svs,28.76,188,23.08,151,29.6,194,18.56,122,Tumor Positive
./tiles_output\NBL-11\tile_8149_41615.jpg,Tumor Cells,NBL-11.svs,47.0,308,11.93,78,23.04,151,18.03,118,Tumor Positive
./tiles_output\NBL-11\tile_8149_42127.jpg,Tumor Cells,NBL-11.svs,50.54,331,14.16,93,20.33,133,14.97,98,Tumor Positive
./tiles_output\NBL-11\tile_8149_42383.jpg,Tumor Cells,NBL-11.svs,44.47,291,19.13,125,20.14,132,16.25,106,Tumor Positive
./tiles_output\NBL-11\tile_8149_42639.jpg,Tumor Cells,NBL-11.svs,43.16,283,21.63,142,17.11,112,18.09,119,Tumor Positive
./tiles_output\NBL-11\tile_8149_42895.jpg,Tumor Cells,NBL-11.svs,37.82,248,18.6,122,22.86,150,20.72,136,Tumor Positive
./tiles_output\NBL-11\tile_8405_38287.jpg,Stroma,NBL-11.svs,23.48,154,16.84,110,26.22,172,33.46,219,Tumor Positive
./tiles_output\NBL-11\tile_8405_38543.jpg,Tumor Cells,NBL-11.svs,31.31,205,24.85,163,20.64,135,23.2,152,Tumor Positive
./tiles_output\NBL-11\tile_8405_38799.jpg,Stroma,NBL-11.svs,25.36,166,17.96,118,27.53,180,29.15,191,Tumor Positive
./tiles_output\NBL-11\tile_8405_39055.jpg,Tumor Cells,NBL-11.svs,30.41,199,21.88,143,24.53,161,23.18,152,Tumor Positive
./tiles_output\NBL-11\tile_8405_39311.jpg,Tumor Cells,NBL-11.svs,33.61,220,22.92,150,26.32,172,17.15,112,Tumor Positive
./tiles_output\NBL-11\tile_8405_40847.jpg,Tumor Cells,NBL-11.svs,41.28,271,26.02,171,18.05,118,14.65,96,Tumor Positive
./tiles_output\NBL-11\tile_8405_42383.jpg,Tumor Cells,NBL-11.svs,49.83,327,15.55,102,20.88,137,13.74,90,Tumor Positive
./tiles_output\NBL-11\tile_8405_42639.jpg,Tumor Cells,NBL-11.svs,44.37,291,16.8,110,21.49,141,17.34,114,Tumor Positive
./tiles_output\NBL-11\tile_8661_37775.jpg,Stroma,NBL-11.svs,26.03,171,21.27,139,18.83,123,33.87,222,Tumor Positive
./tiles_output\NBL-11\tile_8661_38031.jpg,Karyorrhexis,NBL-11.svs,25.51,167,19.32,127,28.14,184,27.02,177,Tumor Positive
./tiles_output\NBL-11\tile_8661_38543.jpg,Karyorrhexis,NBL-11.svs,25.88,170,16.87,111,35.87,235,21.38,140,Tumor Positive
./tiles_output\NBL-11\tile_8661_38799.jpg,Tumor Cells,NBL-11.svs,33.7,221,20.23,133,24.87,163,21.21,139,Tumor Positive
./tiles_output\NBL-11\tile_8661_39055.jpg,Tumor Cells,NBL-11.svs,36.98,242,20.31,133,19.87,130,22.85,150,Tumor Positive
./tiles_output\NBL-11\tile_8661_39311.jpg,Tumor Cells,NBL-11.svs,37.59,246,15.87,104,25.83,169,20.71,136,Tumor Positive
./tiles_output\NBL-11\tile_8661_39567.jpg,Tumor Cells,NBL-11.svs,27.01,177,23.22,152,24.44,160,25.33,166,Tumor Positive
./tiles_output\NBL-11\tile_8661_40335.jpg,Tumor Cells,NBL-11.svs,34.27,225,20.97,137,28.3,185,16.46,108,Tumor Positive
./tiles_output\NBL-11\tile_8661_41359.jpg,Tumor Cells,NBL-11.svs,51.9,340,13.65,89,19.77,130,14.68,96,Tumor Positive
./tiles_output\NBL-11\tile_8661_42639.jpg,Tumor Cells,NBL-11.svs,31.92,209,24.44,160,30.71,201,12.93,85,Tumor Positive
./tiles_output\NBL-11\tile_8917_21903.jpg,Stroma,NBL-11.svs,22.09,145,24.36,160,23.04,151,30.5,200,Tumor Positive
./tiles_output\NBL-11\tile_8917_37519.jpg,Tumor Cells,NBL-11.svs,31.28,205,18.48,121,23.65,155,26.58,174,Tumor Positive
./tiles_output\NBL-11\tile_8917_37775.jpg,Tumor Cells,NBL-11.svs,34.12,224,13.13,86,26.41,173,26.34,173,Tumor Positive
./tiles_output\NBL-11\tile_8917_38031.jpg,Tumor Cells,NBL-11.svs,32.89,216,21.83,143,22.06,145,23.22,152,Tumor Positive
./tiles_output\NBL-11\tile_8917_38287.jpg,Tumor Cells,NBL-11.svs,34.05,223,21.43,140,21.33,140,23.2,152,Tumor Positive
./tiles_output\NBL-11\tile_8917_38543.jpg,Tumor Cells,NBL-11.svs,34.88,229,20.06,131,19.38,127,25.68,168,Tumor Positive
./tiles_output\NBL-11\tile_8917_38799.jpg,Tumor Cells,NBL-11.svs,28.39,186,20.2,132,24.72,162,26.69,175,Tumor Positive
./tiles_output\NBL-11\tile_8917_39055.jpg,Tumor Cells,NBL-11.svs,35.95,236,24.12,158,19.06,125,20.88,137,Tumor Positive
./tiles_output\NBL-11\tile_8917_39567.jpg,Tumor Cells,NBL-11.svs,37.61,246,17.1,112,24.1,158,21.2,139,Tumor Positive
./tiles_output\NBL-11\tile_8917_41359.jpg,Tumor Cells,NBL-11.svs,52.29,343,18.66,122,12.66,83,16.38,107,Tumor Positive
./tiles_output\NBL-11\tile_8917_41615.jpg,Tumor Cells,NBL-11.svs,28.62,188,25.05,164,22.42,147,23.91,157,Tumor Positive
./tiles_output\NBL-11\tile_9173_37263.jpg,Tumor Cells,NBL-11.svs,34.84,228,17.21,113,20.31,133,27.64,181,Tumor Positive
./tiles_output\NBL-11\tile_9173_37519.jpg,Tumor Cells,NBL-11.svs,29.07,191,19.33,127,24.41,160,27.19,178,Tumor Positive
./tiles_output\NBL-11\tile_9173_37775.jpg,Tumor Cells,NBL-11.svs,34.94,229,18.66,122,21.44,141,24.95,164,Tumor Positive
./tiles_output\NBL-11\tile_9173_38031.jpg,Tumor Cells,NBL-11.svs,35.23,231,20.46,134,20.57,135,23.74,156,Tumor Positive
./tiles_output\NBL-11\tile_9173_38287.jpg,Tumor Cells,NBL-11.svs,32.94,216,19.15,126,24.08,158,23.83,156,Tumor Positive
./tiles_output\NBL-11\tile_9173_38543.jpg,Tumor Cells,NBL-11.svs,32.56,213,19.24,126,24.24,159,23.96,157,Tumor Positive
./tiles_output\NBL-11\tile_9173_38799.jpg,Tumor Cells,NBL-11.svs,28.43,186,21.39,140,24.0,157,26.18,172,Tumor Positive
./tiles_output\NBL-11\tile_9173_39055.jpg,Tumor Cells,NBL-11.svs,33.33,218,31.15,204,16.66,109,18.87,124,Tumor Positive
./tiles_output\NBL-11\tile_9173_39311.jpg,Tumor Cells,NBL-11.svs,39.12,256,20.5,134,22.2,145,18.18,119,Tumor Positive
./tiles_output\NBL-11\tile_9429_37263.jpg,Stroma,NBL-11.svs,27.94,183,16.78,110,26.53,174,28.75,188,Tumor Positive
./tiles_output\NBL-11\tile_9429_37519.jpg,Tumor Cells,NBL-11.svs,30.38,199,18.97,124,23.06,151,27.59,181,Tumor Positive
./tiles_output\NBL-11\tile_9429_37775.jpg,Tumor Cells,NBL-11.svs,33.01,216,21.51,141,23.84,156,21.64,142,Tumor Positive
./tiles_output\NBL-11\tile_9429_38031.jpg,Tumor Cells,NBL-11.svs,38.78,254,17.39,114,23.88,156,19.95,131,Tumor Positive
./tiles_output\NBL-11\tile_9429_38287.jpg,Tumor Cells,NBL-11.svs,36.66,240,18.59,122,22.6,148,22.15,145,Tumor Positive
./tiles_output\NBL-11\tile_9429_38543.jpg,Tumor Cells,NBL-11.svs,31.13,204,23.17,152,22.61,148,23.08,151,Tumor Positive
./tiles_output\NBL-11\tile_9429_38799.jpg,Tumor Cells,NBL-11.svs,34.91,229,17.81,117,25.47,167,21.81,143,Tumor Positive
./tiles_output\NBL-11\tile_9685_37007.jpg,Tumor Cells,NBL-11.svs,35.77,234,17.36,114,20.6,135,26.26,172,Tumor Positive
./tiles_output\NBL-11\tile_9685_37263.jpg,Tumor Cells,NBL-11.svs,30.82,202,16.85,110,23.91,157,28.43,186,Tumor Positive
./tiles_output\NBL-11\tile_9685_37519.jpg,Tumor Cells,NBL-11.svs,32.61,214,20.16,132,23.51,154,23.73,156,Tumor Positive
./tiles_output\NBL-11\tile_9685_37775.jpg,Tumor Cells,NBL-11.svs,26.71,175,24.32,159,22.43,147,26.54,174,Tumor Positive
./tiles_output\NBL-11\tile_9685_38031.jpg,Tumor Cells,NBL-11.svs,30.84,202,19.59,128,24.97,164,24.61,161,Tumor Positive
./tiles_output\NBL-11\tile_9685_38287.jpg,Tumor Cells,NBL-11.svs,35.76,234,18.91,124,23.83,156,21.49,141,Tumor Positive
./tiles_output\NBL-11\tile_9685_38543.jpg,Tumor Cells,NBL-11.svs,42.05,276,21.82,143,20.52,134,15.61,102,Tumor Positive
./tiles_output\NBL-11\tile_9685_38799.jpg,Tumor Cells,NBL-11.svs,33.23,218,22.91,150,23.32,153,20.54,135,Tumor Positive
./tiles_output\NBL-11\tile_9685_39055.jpg,Tumor Cells,NBL-11.svs,33.24,218,19.72,129,26.54,174,20.5,134,Tumor Positive
./tiles_output\NBL-11\tile_9685_39311.jpg,Tumor Cells,NBL-11.svs,39.4,258,22.55,148,19.69,129,18.36,120,Tumor Positive
./tiles_output\NBL-11\tile_9685_39567.jpg,Karyorrhexis,NBL-11.svs,26.39,173,25.87,170,32.08,210,15.66,103,Tumor Positive
./tiles_output\NBL-11\tile_9685_41103.jpg,Tumor Cells,NBL-11.svs,37.95,249,20.0,131,18.9,124,23.15,152,Tumor Positive
./tiles_output\NBL-11\tile_9941_37007.jpg,Tumor Cells,NBL-11.svs,29.98,196,17.02,112,28.81,189,24.19,159,Tumor Positive
./tiles_output\NBL-11\tile_9941_37263.jpg,Tumor Cells,NBL-11.svs,35.47,232,16.22,106,27.98,183,20.32,133,Tumor Positive
./tiles_output\NBL-11\tile_9941_37519.jpg,Tumor Cells,NBL-11.svs,36.12,237,17.32,114,23.38,153,23.19,152,Tumor Positive
./tiles_output\NBL-11\tile_9941_37775.jpg,Tumor Cells,NBL-11.svs,30.19,198,20.44,134,23.22,152,26.15,171,Tumor Positive
./tiles_output\NBL-11\tile_9941_38031.jpg,Tumor Cells,NBL-11.svs,32.73,214,18.99,124,28.12,184,20.17,132,Tumor Positive
./tiles_output\NBL-11\tile_9941_38287.jpg,Tumor Cells,NBL-11.svs,34.81,228,20.66,135,23.43,154,21.1,138,Tumor Positive
./tiles_output\NBL-11\tile_9941_38543.jpg,Tumor Cells,NBL-11.svs,37.81,248,17.54,115,25.09,164,19.56,128,Tumor Positive
./tiles_output\NBL-11\tile_9941_38799.jpg,Tumor Cells,NBL-11.svs,37.8,248,20.49,134,23.25,152,18.47,121,Tumor Positive
./tiles_output\NBL-11\tile_9941_39055.jpg,Tumor Cells,NBL-11.svs,33.54,220,20.22,133,26.1,171,20.15,132,Tumor Positive
./tiles_output\NBL-11\tile_9941_39311.jpg,Tumor Cells,NBL-11.svs,33.19,218,24.66,162,24.8,163,17.34,114,Tumor Positive
./tiles_output\NBL-11\tile_9941_39567.jpg,Tumor Cells,NBL-11.svs,44.75,293,17.04,112,24.01,157,14.2,93,Tumor Positive
./tiles_output\NBL-11\tile_10197_36751.jpg,Tumor Cells,NBL-11.svs,30.52,200,19.89,130,19.62,129,29.97,196,Tumor Positive
./tiles_output\NBL-11\tile_10197_37007.jpg,Tumor Cells,NBL-11.svs,31.0,203,13.59,89,27.24,179,28.17,185,Tumor Positive
./tiles_output\NBL-11\tile_10197_37263.jpg,Tumor Cells,NBL-11.svs,37.15,243,13.33,87,28.23,185,21.29,140,Tumor Positive
./tiles_output\NBL-11\tile_10197_37519.jpg,Tumor Cells,NBL-11.svs,36.27,238,14.14,93,31.87,209,17.73,116,Tumor Positive
./tiles_output\NBL-11\tile_10197_37775.jpg,Tumor Cells,NBL-11.svs,31.32,205,21.65,142,25.7,168,21.33,140,Tumor Positive
./tiles_output\NBL-11\tile_10197_38031.jpg,Tumor Cells,NBL-11.svs,37.58,246,16.27,107,24.07,158,22.08,145,Tumor Positive
./tiles_output\NBL-11\tile_10197_38287.jpg,Tumor Cells,NBL-11.svs,38.1,250,17.13,112,27.86,183,16.92,111,Tumor Positive
./tiles_output\NBL-11\tile_10197_38543.jpg,Tumor Cells,NBL-11.svs,38.56,253,19.08,125,23.6,155,18.75,123,Tumor Positive
./tiles_output\NBL-11\tile_10197_38799.jpg,Tumor Cells,NBL-11.svs,37.71,247,17.72,116,24.68,162,19.88,130,Tumor Positive
./tiles_output\NBL-11\tile_10197_39055.jpg,Tumor Cells,NBL-11.svs,37.68,247,24.33,159,20.02,131,17.96,118,Tumor Positive
./tiles_output\NBL-11\tile_10197_39567.jpg,Tumor Cells,NBL-11.svs,35.23,231,19.81,130,28.29,185,16.67,109,Tumor Positive
./tiles_output\NBL-11\tile_10197_40079.jpg,Tumor Cells,NBL-11.svs,31.31,205,15.72,103,28.89,189,24.08,158,Tumor Positive
./tiles_output\NBL-11\tile_10453_36751.jpg,Tumor Cells,NBL-11.svs,36.06,236,14.39,94,24.02,157,25.53,167,Tumor Positive
./tiles_output\NBL-11\tile_10453_37007.jpg,Karyorrhexis,NBL-11.svs,30.7,201,11.88,78,32.86,215,24.56,161,Tumor Positive
./tiles_output\NBL-11\tile_10453_37263.jpg,Tumor Cells,NBL-11.svs,43.38,284,14.13,93,21.71,142,20.77,136,Tumor Positive
./tiles_output\NBL-11\tile_10453_37519.jpg,Tumor Cells,NBL-11.svs,35.26,231,18.43,121,23.75,156,22.56,148,Tumor Positive
./tiles_output\NBL-11\tile_10453_37775.jpg,Tumor Cells,NBL-11.svs,37.17,244,18.09,119,24.42,160,20.33,133,Tumor Positive
./tiles_output\NBL-11\tile_10453_38031.jpg,Tumor Cells,NBL-11.svs,29.42,193,21.65,142,27.57,181,21.36,140,Tumor Positive
./tiles_output\NBL-11\tile_10453_38287.jpg,Tumor Cells,NBL-11.svs,41.17,270,16.0,105,23.04,151,19.78,130,Tumor Positive
./tiles_output\NBL-11\tile_10453_38543.jpg,Tumor Cells,NBL-11.svs,30.76,202,17.39,114,28.34,186,23.51,154,Tumor Positive
./tiles_output\NBL-11\tile_10453_38799.jpg,Tumor Cells,NBL-11.svs,35.4,232,20.18,132,22.88,150,21.55,141,Tumor Positive
./tiles_output\NBL-11\tile_10453_39055.jpg,Tumor Cells,NBL-11.svs,37.38,245,20.34,133,28.32,186,13.95,91,Tumor Positive
./tiles_output\NBL-11\tile_10453_39311.jpg,Tumor Cells,NBL-11.svs,34.33,225,23.39,153,24.64,161,17.64,116,Tumor Positive
./tiles_output\NBL-11\tile_10453_39567.jpg,Tumor Cells,NBL-11.svs,39.97,262,21.21,139,21.68,142,17.14,112,Tumor Positive
./tiles_output\NBL-11\tile_10453_39823.jpg,Mitosis,NBL-11.svs,27.7,182,28.14,184,22.43,147,21.73,142,Tumor Positive
./tiles_output\NBL-11\tile_10453_40079.jpg,Tumor Cells,NBL-11.svs,35.03,230,16.39,107,25.11,165,23.47,154,Tumor Positive
./tiles_output\NBL-11\tile_10453_40591.jpg,Tumor Cells,NBL-11.svs,30.86,202,17.64,116,27.32,179,24.19,159,Tumor Positive
./tiles_output\NBL-11\tile_10709_36751.jpg,Tumor Cells,NBL-11.svs,41.94,275,14.15,93,18.53,121,25.38,166,Tumor Positive
./tiles_output\NBL-11\tile_10709_37007.jpg,Tumor Cells,NBL-11.svs,39.87,261,12.22,80,21.85,143,26.06,171,Tumor Positive
./tiles_output\NBL-11\tile_10709_37263.jpg,Tumor Cells,NBL-11.svs,43.45,285,15.96,105,18.54,122,22.05,145,Tumor Positive
./tiles_output\NBL-11\tile_10709_37519.jpg,Tumor Cells,NBL-11.svs,45.46,298,14.48,95,21.41,140,18.65,122,Tumor Positive
./tiles_output\NBL-11\tile_10709_37775.jpg,Tumor Cells,NBL-11.svs,39.87,261,16.84,110,26.72,175,16.57,109,Tumor Positive
./tiles_output\NBL-11\tile_10709_38031.jpg,Tumor Cells,NBL-11.svs,36.52,239,17.1,112,27.92,183,18.45,121,Tumor Positive
./tiles_output\NBL-11\tile_10709_38287.jpg,Tumor Cells,NBL-11.svs,38.64,253,19.04,125,23.82,156,18.5,121,Tumor Positive
./tiles_output\NBL-11\tile_10709_38543.jpg,Tumor Cells,NBL-11.svs,42.17,276,20.39,134,19.73,129,17.71,116,Tumor Positive
